couldn't open "transcript": permission denied
# //  Questa Intel Starter FPGA Edition-64
# //  Version 2021.2 win64 Apr 14 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
cd {D:/Study/FALL2024/ECNG 4104/Project/Phase1/sim}
# reading modelsim.ini
# -- Compiling module SPI_FSM
# -- Compiling module interleaver
# -- Compiling module out_interlace
# 
# Top level modules:
# 	PPBuffer
# 	SPI_FSM
# 	interleaver
# 	out_interlace
# End time: 11:13:21 on Nov 15,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# Questa Intel Starter FPGA Edition-64 vlog 2021.2 Compiler 2021.04 Apr 14 2021
# Start time: 11:13:21 on Nov 15,2024
# vlog -reportprogress 300 -sv ../ip/SDPR.v 
# -- Compiling module SDPR
# 
# Top level modules:
# 	SDPR
# End time: 11:13:22 on Nov 15,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# Questa Intel Starter FPGA Edition-64 vlog 2021.2 Compiler 2021.04 Apr 14 2021
# Start time: 11:13:22 on Nov 15,2024
# vlog -reportprogress 300 -sv PPBuffer_tb.sv 
# -- Compiling module PPBuffer_tb
# 
# Top level modules:
# 	PPBuffer_tb
# End time: 11:13:22 on Nov 15,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# vsim -voptargs="+acc" -L altera_mf work.PPBuffer_tb 
# Start time: 11:13:22 on Nov 15,2024
# ** Note: (vsim-3812) Design is being optimized...
# ** Note: (vopt-143) Recognized 1 FSM in module "PPBufferControl(fast)".
# Loading sv_std.std
# Loading work.PPBuffer_tb(fast)
# Loading work.PPBuffer(fast)
# Loading work.PPBufferControl(fast)
# Loading work.SDPR(fast)
# Loading altera_mf.altsyncram(fast)
# Loading altera_mf.altsyncram_body(fast)
# Loading altera_mf.ALTERA_DEVICE_FAMILIES(fast)
# Loading altera_mf.ALTERA_MF_MEMORY_INITIALIZATION(fast)
# [Cycle 0] Write Addr: 0, Write Data: 1, Read Addr: 0, Read Data: 0, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 1] Write Addr: 1, Write Data: 1, Read Addr: 1, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 2] Write Addr: 2, Write Data: 1, Read Addr: 2, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 3] Write Addr: 3, Write Data: 1, Read Addr: 3, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 4] Write Addr: 4, Write Data: 0, Read Addr: 4, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 5] Write Addr: 5, Write Data: 0, Read Addr: 5, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 6] Write Addr: 6, Write Data: 1, Read Addr: 6, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 7] Write Addr: 7, Write Data: 1, Read Addr: 7, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 8] Write Addr: 8, Write Data: 0, Read Addr: 8, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 9] Write Addr: 9, Write Data: 0, Read Addr: 9, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 10] Write Addr: 10, Write Data: 0, Read Addr: 10, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 11] Write Addr: 11, Write Data: 1, Read Addr: 11, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 12] Write Addr: 12, Write Data: 0, Read Addr: 12, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 13] Write Addr: 13, Write Data: 0, Read Addr: 13, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 14] Write Addr: 14, Write Data: 1, Read Addr: 14, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 15] Write Addr: 15, Write Data: 0, Read Addr: 15, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 16] Write Addr: 16, Write Data: 1, Read Addr: 16, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 17] Write Addr: 17, Write Data: 1, Read Addr: 17, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 18] Write Addr: 18, Write Data: 0, Read Addr: 18, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 19] Write Addr: 19, Write Data: 0, Read Addr: 19, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 20] Write Addr: 20, Write Data: 1, Read Addr: 20, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 21] Write Addr: 21, Write Data: 0, Read Addr: 21, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 22] Write Addr: 22, Write Data: 0, Read Addr: 22, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 23] Write Addr: 23, Write Data: 0, Read Addr: 23, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 24] Write Addr: 24, Write Data: 1, Read Addr: 24, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 25] Write Addr: 25, Write Data: 0, Read Addr: 25, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 26] Write Addr: 26, Write Data: 1, Read Addr: 26, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 27] Write Addr: 27, Write Data: 0, Read Addr: 27, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 28] Write Addr: 28, Write Data: 1, Read Addr: 28, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 29] Write Addr: 29, Write Data: 0, Read Addr: 29, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 30] Write Addr: 30, Write Data: 0, Read Addr: 30, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 31] Write Addr: 31, Write Data: 0, Read Addr: 31, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 32] Write Addr: 32, Write Data: 1, Read Addr: 32, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 33] Write Addr: 33, Write Data: 0, Read Addr: 33, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 34] Write Addr: 34, Write Data: 0, Read Addr: 34, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 35] Write Addr: 35, Write Data: 1, Read Addr: 35, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 36] Write Addr: 36, Write Data: 0, Read Addr: 36, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 37] Write Addr: 37, Write Data: 0, Read Addr: 37, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 38] Write Addr: 38, Write Data: 0, Read Addr: 38, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 39] Write Addr: 39, Write Data: 1, Read Addr: 39, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 40] Write Addr: 40, Write Data: 0, Read Addr: 40, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 41] Write Addr: 41, Write Data: 0, Read Addr: 41, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 42] Write Addr: 42, Write Data: 1, Read Addr: 42, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 43] Write Addr: 43, Write Data: 1, Read Addr: 43, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 44] Write Addr: 44, Write Data: 0, Read Addr: 44, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 45] Write Addr: 45, Write Data: 1, Read Addr: 45, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 46] Write Addr: 46, Write Data: 1, Read Addr: 46, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 47] Write Addr: 47, Write Data: 0, Read Addr: 47, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 48] Write Addr: 48, Write Data: 1, Read Addr: 48, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 49] Write Addr: 49, Write Data: 1, Read Addr: 49, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 50] Write Addr: 50, Write Data: 0, Read Addr: 50, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 51] Write Addr: 51, Write Data: 1, Read Addr: 51, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 52] Write Addr: 52, Write Data: 0, Read Addr: 52, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 53] Write Addr: 53, Write Data: 0, Read Addr: 53, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 54] Write Addr: 54, Write Data: 1, Read Addr: 54, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 55] Write Addr: 55, Write Data: 0, Read Addr: 55, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 56] Write Addr: 56, Write Data: 1, Read Addr: 56, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 57] Write Addr: 57, Write Data: 0, Read Addr: 57, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 58] Write Addr: 58, Write Data: 0, Read Addr: 58, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 59] Write Addr: 59, Write Data: 1, Read Addr: 59, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 60] Write Addr: 60, Write Data: 0, Read Addr: 60, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 61] Write Addr: 61, Write Data: 0, Read Addr: 61, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 62] Write Addr: 62, Write Data: 1, Read Addr: 62, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 63] Write Addr: 63, Write Data: 0, Read Addr: 63, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 64] Write Addr: 64, Write Data: 1, Read Addr: 64, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 65] Write Addr: 65, Write Data: 0, Read Addr: 65, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 66] Write Addr: 66, Write Data: 0, Read Addr: 66, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 67] Write Addr: 67, Write Data: 1, Read Addr: 67, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 68] Write Addr: 68, Write Data: 0, Read Addr: 68, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 69] Write Addr: 69, Write Data: 1, Read Addr: 69, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 70] Write Addr: 70, Write Data: 0, Read Addr: 70, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 71] Write Addr: 71, Write Data: 0, Read Addr: 71, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 72] Write Addr: 72, Write Data: 1, Read Addr: 72, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 73] Write Addr: 73, Write Data: 0, Read Addr: 73, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 74] Write Addr: 74, Write Data: 1, Read Addr: 74, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 75] Write Addr: 75, Write Data: 1, Read Addr: 75, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 76] Write Addr: 76, Write Data: 1, Read Addr: 76, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 77] Write Addr: 77, Write Data: 0, Read Addr: 77, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 78] Write Addr: 78, Write Data: 1, Read Addr: 78, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 79] Write Addr: 79, Write Data: 1, Read Addr: 79, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 80] Write Addr: 80, Write Data: 0, Read Addr: 80, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 81] Write Addr: 81, Write Data: 1, Read Addr: 81, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 82] Write Addr: 82, Write Data: 0, Read Addr: 82, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 83] Write Addr: 83, Write Data: 1, Read Addr: 83, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 84] Write Addr: 84, Write Data: 1, Read Addr: 84, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 85] Write Addr: 85, Write Data: 1, Read Addr: 85, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 86] Write Addr: 86, Write Data: 1, Read Addr: 86, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 87] Write Addr: 87, Write Data: 0, Read Addr: 87, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 88] Write Addr: 88, Write Data: 0, Read Addr: 88, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 89] Write Addr: 89, Write Data: 0, Read Addr: 89, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 90] Write Addr: 90, Write Data: 1, Read Addr: 90, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 91] Write Addr: 91, Write Data: 0, Read Addr: 91, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 92] Write Addr: 92, Write Data: 1, Read Addr: 92, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 93] Write Addr: 93, Write Data: 1, Read Addr: 93, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 94] Write Addr: 94, Write Data: 1, Read Addr: 94, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 95] Write Addr: 95, Write Data: 1, Read Addr: 95, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 96] Write Addr: 96, Write Data: 0, Read Addr: 96, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 97] Write Addr: 97, Write Data: 1, Read Addr: 97, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 98] Write Addr: 98, Write Data: 0, Read Addr: 98, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 99] Write Addr: 99, Write Data: 1, Read Addr: 99, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 100] Write Addr: 100, Write Data: 0, Read Addr: 100, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 101] Write Addr: 101, Write Data: 0, Read Addr: 101, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 102] Write Addr: 102, Write Data: 1, Read Addr: 102, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 103] Write Addr: 103, Write Data: 0, Read Addr: 103, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 104] Write Addr: 104, Write Data: 0, Read Addr: 104, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 105] Write Addr: 105, Write Data: 1, Read Addr: 105, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 106] Write Addr: 106, Write Data: 1, Read Addr: 106, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 107] Write Addr: 107, Write Data: 1, Read Addr: 107, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 108] Write Addr: 108, Write Data: 1, Read Addr: 108, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 109] Write Addr: 109, Write Data: 0, Read Addr: 109, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 110] Write Addr: 110, Write Data: 1, Read Addr: 110, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 111] Write Addr: 111, Write Data: 0, Read Addr: 111, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 112] Write Addr: 112, Write Data: 0, Read Addr: 112, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 113] Write Addr: 113, Write Data: 0, Read Addr: 113, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 114] Write Addr: 114, Write Data: 1, Read Addr: 114, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 115] Write Addr: 115, Write Data: 1, Read Addr: 115, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 116] Write Addr: 116, Write Data: 1, Read Addr: 116, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 117] Write Addr: 117, Write Data: 0, Read Addr: 117, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 118] Write Addr: 118, Write Data: 1, Read Addr: 118, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 119] Write Addr: 119, Write Data: 1, Read Addr: 119, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 120] Write Addr: 120, Write Data: 0, Read Addr: 120, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 121] Write Addr: 121, Write Data: 1, Read Addr: 121, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 122] Write Addr: 122, Write Data: 1, Read Addr: 122, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 123] Write Addr: 123, Write Data: 0, Read Addr: 123, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 124] Write Addr: 124, Write Data: 1, Read Addr: 124, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 125] Write Addr: 125, Write Data: 1, Read Addr: 125, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 126] Write Addr: 126, Write Data: 0, Read Addr: 126, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 127] Write Addr: 127, Write Data: 1, Read Addr: 127, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 128] Write Addr: 128, Write Data: 1, Read Addr: 128, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
# [Cycle 129] Write Addr: 129, Write Data: 0, Read Addr: 129, Read Data: x, wren_A: 1, wren_B: 0, rden_A: 0, rden_B: 1, q_sel: 1
